ICD9CMCode,TotalDiag,dx0,dx1,dx2,dx3,dx4,dx5,dx6,dx7,dx8,dx9,dx10,dx11,dx12,dx13,dx14,dx15,dx16,dx17,dx18,dx19,dx20,dx21,dx22,dx23,dx24
365.9,30988,16,388,695,1297,1810,2156,2312,2449,2450,2361,2215,1994,1846,1663,1376,1190,955,848,681,618,503,360,317,277,211
366.00,16,,1,2,1,,,1,,2,2,1,3,,1,1,,,,,1,,,,,
366.01,2,,,,,,,,,1,1,,,,,,,,,,,,,,,
366.02,7,,,1,2,,,,,,1,,,,,,,1,1,1,,,,,,
366.03,1,,,,,,,1,,,,,,,,,,,,,,,,,,
366.04,5,1,,,,,,,1,,,,1,,,,1,,,,,,,,,1
366.09,1,,,,,,,,,1,,,,,,,,,,,,,,,,
366.10,343,2,4,4,4,11,18,17,13,25,25,21,22,13,18,21,18,20,16,13,19,8,8,12,5,6
366.11,30,,,1,1,,2,,1,2,,3,3,2,,1,2,3,1,1,,2,1,1,1,2
366.12,87,,,1,2,4,4,4,4,5,9,5,2,4,6,1,8,2,6,3,3,5,,3,4,2
366.14,11,,,1,,,3,,1,,,1,,,,2,,,,1,,,1,,1,
366.15,44,,,1,1,1,1,4,1,2,6,2,4,3,3,4,5,,2,,1,1,2,,,
366.16,502,14,2,14,12,17,17,25,28,33,34,33,38,23,29,25,30,25,28,17,16,3,15,7,8,9
366.17,19,1,,,1,2,1,3,2,2,,2,1,1,,1,,,2,,,,,,,
366.18,3,,,1,1,,,,,1,,,,,,,,,,,,,,,,
366.19,35,2,,,1,1,1,3,2,2,3,1,2,2,3,1,1,4,1,1,,1,1,1,1,
366.20,29,4,7,3,2,3,1,1,2,2,1,1,1,1,,,,,,,,,,,,
366.22,1,1,,,,,,,,,,,,,,,,,,,,,,,,
366.30,7,,,,,,2,,,,,1,,1,,,1,,,,,1,,,1,
366.31,2,,,,,,,,1,,,,,,,,,,1,,,,,,,
366.34,1,,,,,,,1,,,,,,,,,,,,,,,,,,
366.41,334,,1,,6,12,10,12,18,12,18,20,23,29,18,29,14,18,17,23,11,15,6,7,12,3
366.42,2,,,,,,,,,,,,,1,,,,,,1,,,,,,
366.43,2,,,,1,,1,,,,,,,,,,,,,,,,,,,
366.44,5,,,,1,1,,,1,1,,1,,,,,,,,,,,,,,
366.45,8,,,,,,1,,1,,2,1,,,1,1,1,,,,,,,,,
366.50,32,,,,,1,,,1,1,,4,,5,1,2,1,2,1,2,5,,1,2,2,1
366.52,1,,,,,,,,,,,,,,,,,,,1,,,,,,
366.53,8,,1,,1,,,1,,1,,2,,,,,1,,,,1,,,,,
366.8,100,1,2,4,3,6,9,5,2,8,11,5,6,7,5,4,1,2,3,2,6,5,,1,1,1
366.9,7158,22,64,116,192,295,357,454,485,510,531,512,462,364,422,383,350,302,263,237,207,168,137,118,109,98
367.0,552,,12,27,45,44,55,44,45,36,27,33,21,17,19,14,19,16,16,12,14,11,8,6,3,8
367.1,1342,,36,60,99,101,132,132,99,112,94,84,72,61,51,42,37,31,29,20,16,10,10,6,5,3
367.20,599,,11,21,29,39,40,37,47,45,45,26,33,23,32,25,18,26,24,19,12,14,8,11,5,9
367.21,73,,3,1,2,1,3,4,3,1,6,7,8,5,5,6,2,3,,3,2,1,2,1,2,2
367.22,13,,,1,2,1,,,1,,1,1,,,,,1,,1,,1,,2,,,1
367.31,121,,4,7,6,11,8,7,10,11,8,8,6,7,3,2,5,3,4,2,2,1,1,2,1,2
367.32,12,,,,,1,2,2,2,2,,1,,1,,1,,,,,,,,,,
367.4,671,,2,5,22,18,22,38,38,48,47,50,39,49,41,32,32,37,26,30,20,23,21,11,14,6
367.51,12,,1,,,,,,,,1,,,,,1,1,1,1,1,,1,2,2,,
367.52,9,,,,,,,1,1,1,,,1,,,1,3,,1,,,,,,,
367.53,1,,,,,,1,,,,,,,,,,,,,,,,,,,
367.89,4,1,,,,,,,,,,2,,,,,,,1,,,,,,,
367.9,166,1,8,10,27,16,17,13,12,9,8,7,4,7,1,7,3,2,4,3,3,3,,1,,
368.00,349,,12,14,26,32,23,19,23,25,22,25,13,22,12,13,11,9,9,10,9,4,4,4,6,2
368.01,21,,1,,2,1,,1,2,1,2,1,1,1,2,,,,1,1,2,,,2,,
368.02,4,,1,,1,,,1,,1,,,,,,,,,,,,,,,,
368.03,23,,2,,2,5,1,2,1,2,1,1,,1,,2,1,,,1,,1,,,,
368.10,96,,,,,3,,,4,5,4,5,9,7,3,10,6,9,6,5,7,4,3,2,4,
368.11,45,7,12,7,4,4,3,3,3,1,1,,,,,,,,,,,,,,,
368.12,163,18,54,28,6,10,11,9,12,5,2,1,,2,2,1,,1,,1,,,,,,
368.13,740,3,69,65,62,58,59,53,58,51,40,33,36,21,24,20,17,12,16,9,8,6,6,6,2,6
368.14,7,1,,1,2,,,,1,,1,1,,,,,,,,,,,,,,
368.15,30,2,1,1,2,,,1,3,1,5,1,2,2,1,,3,1,1,,1,,,1,1,
368.16,1974,38,35,98,102,133,138,145,130,147,129,101,111,99,97,70,72,61,52,47,37,37,30,32,14,19
368.2,3893,123,185,293,350,334,337,271,283,235,230,221,164,142,141,100,103,78,47,60,43,39,38,32,24,20
368.30,7,,,1,1,2,,1,,,,,,,1,,,,,1,,,,,,
368.31,2,,,,1,,,,,,,,,,,,,,,,,,,,1,
368.32,6,,,,,,,1,,,,1,,,2,2,,,,,,,,,,
368.33,1,,,,,,1,,,,,,,,,,,,,,,,,,,
368.40,904,6,21,37,44,51,60,59,58,62,57,54,50,49,46,43,30,29,21,25,21,33,13,13,10,12
368.41,38,,1,3,3,1,2,3,3,2,3,3,2,,3,2,2,1,,3,,,1,,,
368.42,9,,,,1,2,,2,1,1,,,1,1,,,,,,,,,,,,
368.43,1,,,,,,,,,,,,,,,,,,,,,,1,,,
368.44,192,2,11,17,19,18,15,16,19,12,12,10,2,8,5,9,2,4,,3,1,4,1,2,,
368.45,44,2,2,4,3,4,2,5,1,4,2,3,1,3,1,,1,1,1,1,1,,1,1,,
368.46,3025,9,221,234,350,430,342,211,191,143,116,116,107,75,87,65,57,45,55,39,31,28,26,15,12,20
368.47,187,,28,19,26,18,24,12,13,7,5,6,7,5,3,2,3,2,2,,3,,2,,,
368.51,2,,,,1,,,,,,,,,,,,,1,,,,,,,,
368.52,3,,,1,,1,,,,,,,,,,,,,1,,,,,,,
368.54,6,,1,,,1,1,1,,,,,1,1,,,,,,,,,,,,
368.55,3,,,,,,,1,1,,,,,,,,,,,1,,,,,,
368.59,51,,1,3,4,1,4,5,3,4,7,2,3,3,2,1,1,1,1,1,2,1,1,,,
368.60,7,,1,1,1,,,1,,,,1,,2,,,,,,,,,,,,
368.61,2,,,,1,,,,,,,,1,,,,,,,,,,,,,
368.8,3764,70,164,249,308,348,294,306,251,255,223,208,200,159,112,95,101,82,70,52,46,48,42,33,33,15
368.9,1025,25,37,52,68,86,75,80,74,73,59,61,41,51,41,46,33,21,21,16,9,14,14,12,8,8
369.00,5277,7,47,107,188,259,316,349,408,406,393,411,356,315,293,226,230,199,141,163,120,91,88,63,47,54
369.01,43,,,,3,2,3,3,6,4,3,7,,1,2,1,2,,2,,1,1,2,,,
369.02,9,,,,1,,1,1,,2,2,,,1,,1,,,,,,,,,,
369.03,5,,,,,1,2,,,,,,,,1,,,1,,,,,,,,
369.04,19,,,,,,1,1,1,2,2,2,2,2,1,,,,1,1,,1,,1,1,
369.05,6,,,,1,,,,1,1,,,,1,2,,,,,,,,,,,
369.06,1,,,,,,,,,,,,,,,,,,,,,,,,1,
369.07,1,,,,,,1,,,,,,,,,,,,,,,,,,,
369.08,6,,,,1,1,,1,1,,,,,,,1,,,,,,,,,1,
369.10,209,2,2,3,9,13,14,11,11,17,8,17,11,17,14,14,7,10,9,5,3,3,4,2,2,1
369.11,13,,1,,1,,2,1,,,1,1,,,,3,1,,,,2,,,,,
369.12,2,,,,,,,1,1,,,,,,,,,,,,,,,,,
369.14,2,,,,,,,,,,,,1,,,1,,,,,,,,,,
369.15,6,,,,,,,,2,,,2,,1,,,,,,,1,,,,,
369.16,2,,,,,,,,,1,,1,,,,,,,,,,,,,,
369.20,21,1,1,2,2,,2,1,1,2,1,1,,2,1,,,1,,,2,,,1,,
369.21,7,,,,1,,,,2,,,1,,,,1,1,,,,,,,,1,
369.22,10,,,,,,1,,1,,1,,,1,2,2,,1,,,,,1,,,
369.24,1,,,,,,,,,,,,,1,,,,,,,,,,,,
369.25,6,,,,,,,,,,1,2,,,1,,,,1,,1,,,,,
369.3,259,5,5,9,18,12,17,13,14,20,18,17,19,16,8,15,15,10,9,5,1,3,3,3,2,2
369.4,6045,,36,92,165,291,328,402,405,461,464,454,436,399,335,324,286,212,227,159,162,111,95,78,66,57
369.60,7650,11,77,176,263,360,448,482,559,508,538,543,528,513,455,399,364,290,235,190,170,146,138,100,83,74
369.61,97,,3,3,4,1,6,10,6,9,6,7,5,7,3,5,4,3,2,2,2,3,2,2,1,1
369.62,2,,,,,,,,,,,1,,,1,,,,,,,,,,,
369.63,25,,,1,2,2,2,3,2,3,2,,,3,1,,,,,,,,2,1,1,
369.64,35,1,,1,2,3,1,5,1,2,2,4,3,2,1,,,2,2,1,1,,,,1,
369.65,1,,,,,,,,,,,,,,,,1,,,,,,,,,
369.66,6,,,,1,1,1,,,,,,,1,,,1,,,,1,,,,,
369.67,66,,,2,6,7,4,5,3,6,3,5,3,3,4,4,2,1,1,4,1,,1,1,,
369.68,1,,,,,,,1,,,,,,,,,,,,,,,,,,
369.69,7,,,,1,,,1,1,,,,,1,,2,,,,,,1,,,,
369.70,149,,1,3,11,11,12,11,10,10,3,11,15,5,6,11,5,6,8,1,1,2,3,3,,
369.71,14,,,1,2,,,1,1,1,1,1,1,3,1,,,,,,,,,,1,
369.72,1,,,,,,,,,,,,,,,,1,,,,,,,,,
369.73,4,,,1,1,,,,,,,,,1,,,,,1,,,,,,,
369.74,27,,,,,3,3,1,2,4,1,3,1,,1,2,2,2,1,,,,,,,1
369.76,5,,,,,2,,1,1,,,,,,,,,,,,1,,,,,
369.8,1023,20,36,55,58,51,69,71,78,69,77,60,51,40,59,48,32,21,31,30,16,14,9,9,13,6
369.9,2529,14,57,106,151,169,185,171,175,177,149,137,140,131,104,109,110,89,61,80,43,48,40,37,23,23
370.00,231,53,11,8,14,14,11,15,8,11,10,7,10,4,10,10,6,6,4,3,,5,2,5,1,3
370.01,4,1,,,1,1,1,,,,,,,,,,,,,,,,,,,
370.03,14,5,1,1,,2,,1,1,,,1,1,1,,,,,,,,,,,,
370.04,18,13,1,,,2,,,,,,,,1,,1,,,,,,,,,,
370.05,3,2,1,,,,,,,,,,,,,,,,,,,,,,,
370.06,35,17,2,,2,1,1,1,,,1,2,,1,2,1,,2,,,,,,2,,
370.07,2,1,,1,,,,,,,,,,,,,,,,,,,,,,
370.20,1,,,,,,,,,,,,,,,,1,,,,,,,,,
370.21,19,,,1,2,1,1,,,,2,3,1,1,3,2,,,,,,1,,1,,
370.23,18,,,,,,,1,,3,,2,,,3,,1,1,2,2,2,,,,,1
370.24,19,,1,1,,,1,,2,3,2,1,2,2,1,,,1,1,,,,,,,1
370.31,2,,1,,,,,,,,1,,,,,,,,,,,,,,,
370.33,70,,,1,2,2,7,2,7,2,7,4,7,4,5,2,6,4,,2,2,,,1,2,1
370.34,79,1,,,3,2,5,5,1,3,3,4,4,7,1,6,4,4,2,1,2,3,7,5,,6
370.35,13,,,,1,1,1,,1,,,1,1,2,1,,,,,,1,,1,,2,
370.40,39,,1,1,3,2,4,2,1,1,1,2,2,5,1,2,1,2,1,1,2,1,2,1,,
370.44,1,,,,,,,,1,,,,,,,,,,,,,,,,,
370.49,20,2,,2,,1,3,,1,1,,1,1,1,,2,1,,,,1,,,1,2,
370.50,1,,,,,,,,,,,,,,1,,,,,,,,,,,
370.52,9,1,,,1,1,,1,1,,,,,1,1,,1,,,,1,,,,,
370.54,1,,,,,,,,,,,,,,,,,,,,,1,,,,
370.55,3,,,,,,,,,,,,1,1,,,,,,,,,,1,,
370.59,1,,1,,,,,,,,,,,,,,,,,,,,,,,
370.60,5,,1,,,,,,,1,,,,1,,1,,,1,,,,,,,
370.62,10,,,1,1,,,1,,,2,,1,,,,,1,,1,1,,1,,,
370.8,35,3,3,4,2,3,1,2,,,,1,1,2,2,1,1,2,2,,1,3,,1,,
370.9,82,4,2,3,5,9,5,4,4,6,3,5,5,4,2,5,5,2,1,1,2,2,2,,,1
371.00,149,,4,2,2,8,6,11,12,11,10,9,9,7,7,8,10,3,8,11,3,1,2,1,1,3
371.01,2,,,,,,,,,,,1,,,,,,,,,,,,,1,
371.02,6,,,,,1,,,1,1,1,1,,,,,1,,,,,,,,,
371.03,4,,,,,,1,1,,,,1,,,1,,,,,,,,,,,
371.05,1,,,,,,,,,,,,,,,,,1,,,,,,,,
371.10,1,,,,,,,,,,1,,,,,,,,,,,,,,,
371.14,2,,,,,,,,1,,,,,,,,,1,,,,,,,,
371.16,1,,,,,,,1,,,,,,,,,,,,,,,,,,
371.20,38,,4,1,1,3,1,2,2,1,3,1,,3,2,,3,1,1,1,2,,2,2,1,1
371.21,2,,,,,,,,,,,,,,,,,,1,,,1,,,,
371.22,7,,,,,,,,,,1,,1,,,2,2,,,,,,,,1,
371.23,20,3,1,1,1,,2,,1,,1,1,1,,2,1,1,,1,1,2,,,,,
371.24,1,,,,,,,,,,,,,,,,,,1,,,,,,,
371.30,1,,,,,,,,,,,,,,,,,,,,,,1,,,
371.40,123,,6,5,5,4,9,10,8,3,10,8,4,9,3,4,3,,5,7,1,3,4,4,3,5
371.41,126,,,2,,4,3,5,11,3,4,12,6,9,12,10,9,9,2,9,3,6,2,1,3,1
371.42,13,,1,1,1,1,,1,,2,,,,,1,1,1,1,1,,1,,,,,
371.43,16,,,,2,2,,,,,1,,1,1,1,2,1,2,,,,1,1,1,,
371.45,5,2,,,1,,,,,,,,1,,,,,,,1,,,,,,
371.46,16,,,,,,3,,,,2,1,1,,,2,,3,,1,,,,1,2,
371.48,5,,1,,,,,1,,,,,,,,1,,,,,,,,1,1,
371.49,7,,1,,,,,,1,,,1,1,,,,,2,,,,,1,,,
371.50,38,1,,2,1,,1,4,2,2,2,2,2,1,1,1,1,2,7,3,,1,1,,,1
371.52,13,,,,1,,1,1,1,,1,1,,1,,1,,,,,1,4,,,,
371.53,2,,,,,,,,,1,,,,1,,,,,,,,,,,,
371.54,1,,,,,,,,,,,,,,,,,,1,,,,,,,
371.55,2,,,,1,,,,,,,,,,,,,,,1,,,,,,
371.56,3,,,,,,,1,,,,1,,,,1,,,,,,,,,,
371.57,114,1,2,3,4,,3,4,1,6,8,7,10,8,7,4,5,5,8,6,2,4,4,4,4,4
371.58,1,,,,,,,,,,,,,1,,,,,,,,,,,,
371.60,69,,3,5,4,6,3,6,7,6,4,3,4,4,2,3,2,,,5,,,1,,1,
371.61,1,,,,,,,,1,,,,,,,,,,,,,,,,,
371.70,1,,,,,,,1,,,,,,,,,,,,,,,,,,
371.71,4,,,1,2,,,,,,,,,,,1,,,,,,,,,,
371.72,4,,,1,,,1,,,,,,,,,,,1,1,,,,,,,
371.81,2,,,,,,1,,,1,,,,,,,,,,,,,,,,
371.82,18,3,,1,5,2,1,1,1,,,1,1,,,,,,,1,,,,1,,
371.89,54,4,1,3,5,1,,,4,4,4,1,4,2,2,1,4,3,1,,2,2,2,2,2,
371.9,10,,,,,,,1,,2,1,1,,1,,1,,,2,1,,,,,,
372.00,474,10,43,42,36,34,25,31,27,31,14,19,21,25,19,20,17,12,11,9,6,2,7,6,2,5
372.01,2,,,,,,1,,,,,,,,1,,,,,,,,,,,
372.02,2,1,,,,,,1,,,,,,,,,,,,,,,,,,
372.03,85,1,8,13,8,9,8,3,,4,2,4,5,2,3,2,3,3,1,1,1,,,2,1,1
372.04,4,1,,1,,,,1,1,,,,,,,,,,,,,,,,,
372.05,34,,2,1,2,3,2,7,1,2,4,1,1,,1,1,1,,2,,,2,1,,,
372.06,35,1,6,2,6,4,2,1,1,1,1,3,1,2,,,,,,,,1,1,1,1,
372.10,66,,2,3,5,4,1,5,4,4,4,2,5,3,3,5,2,2,2,4,1,,4,,,1
372.12,1,,,,1,,,,,,,,,,,,,,,,,,,,,
372.13,1,,1,,,,,,,,,,,,,,,,,,,,,,,
372.14,346,1,13,14,21,25,26,24,34,17,15,24,19,15,16,13,10,15,8,7,6,6,6,6,2,3
372.20,40,1,1,2,4,2,3,1,,1,1,4,4,1,,2,2,1,1,2,2,1,1,2,1,
372.21,1,,,,,,,,,,,,1,,,,,,,,,,,,,
372.30,4080,31,197,266,271,289,298,244,263,260,217,241,199,185,162,170,104,133,121,77,81,73,64,45,44,45
372.33,37,,3,4,6,10,3,4,,2,1,,2,1,,,,,1,,,,,,,
372.34,6,,,2,,1,,,,,,,2,1,,,,,,,,,,,,
372.39,372,6,19,22,22,22,29,30,25,25,19,24,19,16,13,15,15,9,11,8,4,7,2,5,2,3
372.40,270,,11,11,10,16,30,16,27,18,16,14,9,12,11,13,11,8,10,4,5,6,3,3,1,5
372.41,7,,,,,,,,2,1,,,,1,1,1,,,,,,1,,,,
372.42,2,,,,,,,,,,,,,,,,,,,2,,,,,,
372.44,2,,,,,,,,1,,,,,,,,,,,,,1,,,,
372.45,8,,,,,,1,,,3,,,,,,,1,1,,,1,1,,,,
372.50,1,,,,,,,,,,,,,,,,1,,,,,,,,,
372.51,40,,1,1,1,3,2,2,1,1,4,2,1,2,1,2,2,4,1,1,,1,1,2,2,2
372.53,43,,1,2,3,1,1,1,3,6,4,2,,,1,2,1,4,2,1,3,2,1,,2,
372.54,1,,,,,,,,1,,,,,,,,,,,,,,,,,
372.55,3,,,1,,,,,,,,,,1,1,,,,,,,,,,,
372.56,1,,,,,,,,1,,,,,,,,,,,,,,,,,
372.62,1,,,,,,,,1,,,,,,,,,,,,,,,,,
372.63,5,,,,,1,1,,,1,,1,,,,,1,,,,,,,,,
372.64,4,,,,,1,1,,,,,1,,,,,,,,,,,,,1,
372.71,26,,3,2,1,2,2,2,3,3,,2,1,,,1,1,,,,1,,1,1,,
372.72,1400,13,68,94,118,126,98,100,82,80,77,73,67,49,56,48,54,44,33,28,21,23,14,16,12,6
372.73,263,1,6,15,19,24,12,16,13,13,12,11,7,14,7,4,10,18,7,9,10,9,8,8,7,3
372.74,44,,,4,1,1,2,6,5,1,3,4,,3,4,2,1,,2,1,3,,1,,,
372.75,22,,,,1,1,2,3,4,1,2,1,4,2,,,,,,,,,,1,,
372.81,2,,,,,,,,1,,,,,,,,,,,,,1,,,,
372.89,40,1,4,2,3,5,3,1,1,3,1,3,2,,2,,2,2,2,,2,,1,,,
372.9,21,,,1,3,,2,1,1,1,4,1,,1,1,2,1,,,1,,,,,,1
373.00,603,7,16,11,24,24,32,34,39,45,33,37,37,40,34,35,19,12,26,21,21,15,6,8,14,13
373.01,2,,,,,,,,,,,,,1,1,,,,,,,,,,,
373.02,1,,,,,1,,,,,,,,,,,,,,,,,,,,
373.11,287,5,16,16,33,26,20,24,17,23,21,23,12,6,9,2,7,9,3,2,,2,5,3,,3
373.12,30,,,3,,,1,1,4,2,3,1,2,3,,3,2,,1,1,,,2,,1,
373.13,217,84,18,29,19,15,6,10,8,3,1,2,5,4,1,1,4,1,1,1,1,,1,,2,
373.2,83,3,10,9,4,6,6,4,5,2,4,3,5,2,4,4,2,1,2,1,2,1,1,,2,
373.31,14,,1,3,,,1,2,,,,1,1,3,1,,,,,1,,,,,,
373.32,6,1,2,,,,,,,,,,,,,2,,1,,,,,,,,
373.34,2,,,,1,,,1,,,,,,,,,,,,,,,,,,
373.4,4,,,,,,1,1,1,,,1,,,,,,,,,,,,,,
373.6,1,,,,,,,,,,,,,,,1,,,,,,,,,,
373.8,18,1,1,1,3,,2,3,1,,1,1,1,,1,,1,,1,,,,,,,
373.9,33,1,5,,2,4,1,2,1,1,,2,2,3,4,,,,,1,1,1,2,,,
374.00,32,1,2,,1,1,,2,2,1,3,,3,5,1,2,,1,1,,2,1,1,1,,1
374.04,2,,,,1,,,,,1,,,,,,,,,,,,,,,,
374.05,12,,,1,,,1,,1,,,,1,,2,2,1,,,,1,,1,,1,
374.10,136,1,1,6,2,6,4,8,12,8,5,7,11,10,5,6,6,7,5,4,8,4,2,3,3,2
374.11,2,,,,,1,,,,,,,,,,,1,,,,,,,,,
374.12,6,,,1,,1,1,1,,,,,1,,,,1,,,,,,,,,
374.14,21,3,2,3,1,,1,1,1,,,,,1,1,1,,2,,,1,1,2,,,
374.20,136,1,1,9,9,9,9,10,7,9,13,7,5,6,6,4,2,6,4,5,6,1,3,2,2,
374.21,26,,3,1,1,2,1,3,1,3,1,2,1,1,,2,1,,,,,,1,,1,1
374.23,3,,,,,,,,,,,,,,,,,1,,1,,,,,,1
374.30,1793,17,58,97,117,92,112,117,119,109,104,113,91,83,88,72,71,57,49,54,50,33,21,27,25,17
374.31,35,2,2,,3,2,2,2,2,1,2,2,3,1,2,2,1,2,1,2,,,,,1,
374.32,8,,1,3,,,,,,,1,2,1,,,,,,,,,,,,,
374.33,6,1,1,,,,,,2,1,,,,,,,,,,,,,,,,1
374.34,59,5,20,6,2,3,3,,5,3,1,,1,1,2,1,2,,2,1,,,1,,,
374.41,32,3,1,4,1,2,3,3,2,2,3,,2,,,2,2,,,,,,,2,,
374.43,2,,,,,,,,,1,,,,,,,,,1,,,,,,,
374.44,9,,2,,3,,,,1,,,,,,1,,,,,,,1,1,,,
374.45,2,,,,2,,,,,,,,,,,,,,,,,,,,,
374.46,2,,,,,,,,,,,,1,,,,,1,,,,,,,,
374.50,2,,,,,1,,,,,,,,,,1,,,,,,,,,,
374.51,22,,,2,1,1,2,1,1,1,2,2,,,2,2,1,,1,,,1,1,,1,
374.52,1,,,,,,,,,,,,,,1,,,,,,,,,,,
374.53,5,,1,,,1,,,,,,,2,,,,1,,,,,,,,,
374.54,1,,,,,,,,,,,,,1,,,,,,,,,,,,
374.55,4,,,,,,,1,,,,,,,,1,,1,,,,,,,,1
374.81,1,1,,,,,,,,,,,,,,,,,,,,,,,,
374.82,118,1,20,15,9,8,11,6,9,5,5,3,3,7,2,3,2,2,2,1,1,,,1,,2
374.84,16,1,3,2,2,1,,1,,,,1,2,,1,,,,,,1,,1,,,
374.85,1,,,,1,,,,,,,,,,,,,,,,,,,,,
374.86,3,,,1,,1,,,,,,,,,,,,,,,,1,,,,
374.87,66,4,4,6,1,,2,,1,4,1,5,3,1,4,7,4,1,1,2,3,2,4,4,2,
374.89,48,,1,5,4,4,2,4,5,3,1,4,1,1,3,2,3,2,,,1,,,2,,
374.9,13,,,1,1,,,1,,2,1,,,1,1,,1,2,,,1,,,,1,
375.00,16,4,1,3,1,1,,,,,,1,1,2,,,1,,,,,,,,1,
375.01,2,,,1,,,1,,,,,,,,,,,,,,,,,,,
375.11,1,,1,,,,,,,,,,,,,,,,,,,,,,,
375.12,6,,2,4,,,,,,,,,,,,,,,,,,,,,,
375.15,2721,1,34,44,104,116,129,151,186,173,160,178,185,155,154,125,129,103,105,98,86,81,69,57,50,48
375.20,62,1,2,3,6,6,5,5,2,3,4,3,2,5,2,2,1,,,2,1,3,1,2,,1
375.21,4,,,,,,,1,,,,,1,,,1,,,,,,,,,1,
375.22,5,,,,1,,,,,1,,,,1,,2,,,,,,,,,,
375.30,82,28,9,10,7,3,4,4,2,3,1,2,2,,1,,3,1,,,,,1,1,,
375.31,5,,1,1,,,1,,,1,,,,,,,,1,,,,,,,,
375.32,46,37,2,2,,,2,,1,1,,,,1,,,,,,,,,,,,
375.33,3,2,,,,,,,,1,,,,,,,,,,,,,,,,
375.41,1,,,,1,,,,,,,,,,,,,,,,,,,,,
375.42,16,2,6,1,2,1,1,1,1,,,1,,,,,,,,,,,,,,
375.43,61,6,18,11,13,4,3,2,3,,,,1,,,,,,,,,,,,,
375.52,4,,,,1,,,1,,1,,,,,,,,,,1,,,,,,
375.53,7,,2,1,,1,1,,,,,1,,1,,,,,,,,,,,,
375.54,2,,,,,1,,,,1,,,,,,,,,,,,,,,,
375.55,165,,48,36,20,16,5,4,1,4,4,9,2,4,1,1,1,2,,2,1,,,2,1,1
375.56,148,4,22,24,20,12,15,10,8,2,8,2,5,4,3,1,,3,1,1,,,,1,1,1
375.61,1,,,,,,,1,,,,,,,,,,,,,,,,,,
375.69,5,,,2,,1,1,,,,,,,,,,,,,,1,,,,,
375.89,7,,1,3,1,1,,1,,,,,,,,,,,,,,,,,,
375.9,4,,1,,,,1,,,,,,1,,,,,,,1,,,,,,
376.00,17,2,,2,2,,2,1,1,1,1,,,,,1,1,,,,,,1,,1,1
376.01,612,348,117,44,31,15,20,7,5,10,2,5,4,,2,,,1,,,1,,,,,
376.02,5,2,1,,1,,,,1,,,,,,,,,,,,,,,,,
376.03,9,4,1,1,1,1,,1,,,,,,,,,,,,,,,,,,
376.10,16,2,2,3,1,2,,1,1,,,1,,,,,,,1,,1,1,,,,
376.11,41,17,2,2,4,3,,3,1,,2,1,,1,2,1,1,,1,,,,,,,
376.12,17,4,1,2,1,4,1,,,1,1,,1,,,,,1,,,,,,,,
376.21,58,,3,11,5,5,5,3,3,3,4,2,1,3,,3,,1,1,,,1,1,1,1,1
376.22,9,,,,1,1,,1,1,2,,,,1,,1,,,,,,1,,,,
376.30,672,7,84,63,59,65,56,37,37,30,32,29,22,17,19,15,14,19,11,8,10,6,7,8,6,11
376.31,8,1,,1,1,1,2,1,1,,,,,,,,,,,,,,,,,
376.32,63,2,1,5,5,9,7,5,6,3,2,2,1,3,1,2,1,4,,,1,,2,,1,
376.33,321,13,16,19,28,25,27,21,24,17,17,10,13,12,8,14,10,9,7,2,6,4,5,4,5,5
376.36,4,,,1,,1,,1,,,,,,,,,,,,,,,1,,,
376.40,2,,,,,,1,,,,,1,,,,,,,,,,,,,,
376.41,17,,4,3,2,2,3,1,,,,,,,,,1,,,1,,,,,,
376.43,1,1,,,,,,,,,,,,,,,,,,,,,,,,
376.44,2,,1,,,,,,,,,1,,,,,,,,,,,,,,
376.45,1,,,,,1,,,,,,,,,,,,,,,,,,,,
376.47,6,1,,,,1,,,,,1,2,,,,,,1,,,,,,,,
376.50,15,,1,1,3,,1,1,,1,,2,1,,,1,,1,,,,2,,,,
376.51,5,,1,3,,,,1,,,,,,,,,,,,,,,,,,
376.52,48,4,6,6,5,9,2,2,2,1,2,1,1,,2,2,1,1,1,,,,,,,
376.6,2,,,,,,1,,,1,,,,,,,,,,,,,,,,
376.81,16,2,4,3,1,2,1,,1,,1,1,,,,,,,,,,,,,,
376.82,5,,,,,,,,,1,,,1,2,,,,,1,,,,,,,
376.89,87,3,6,7,8,9,8,8,4,5,3,5,6,3,3,4,,,,2,2,1,,,,
376.9,26,1,,2,,3,2,3,2,,4,,,,1,,1,2,1,2,,1,1,,,
377.00,345,43,131,67,51,16,5,11,8,5,3,1,2,1,,1,,,,,,,,,,
377.01,117,12,48,27,17,8,1,,,,,1,1,1,,1,,,,,,,,,,
377.02,1,,1,,,,,,,,,,,,,,,,,,,,,,,
377.03,5,1,,,2,1,1,,,,,,,,,,,,,,,,,,,
377.04,5,,,1,,,1,1,,,2,,,,,,,,,,,,,,,
377.10,308,1,19,17,29,37,37,23,21,10,11,12,11,9,8,10,11,10,7,5,1,4,8,2,4,1
377.12,1,,,,1,,,,,,,,,,,,,,,,,,,,,
377.13,1,,1,,,,,,,,,,,,,,,,,,,,,,,
377.14,61,,13,14,11,8,3,4,,2,,3,1,,,1,,,,,,1,,,,
377.15,19,,2,5,5,1,1,,,1,,,,,,,,1,2,,,1,,,,
377.16,5,1,,,1,2,,,,,,,,1,,,,,,,,,,,,
377.21,17,,1,,,1,1,2,,1,2,,1,,2,,1,,2,1,1,,,1,,
